COD_MOD,LIB_MOD
Y18T75,De 18 à 75 ans
Y18T64,De 18 à 64 ans
_Z,Non applicable
Y15,15 ans
Y_LT14,Moins de 14 ans
Y14T17,De 14  à 17 ans
Y18T24,De 18 à 24 ans
Y25T44,De 25 à 44 ans
Y45T64,De 45 à 64 ans
Y16T74,De 16 à 74 ans
Y65T74,De 65 à 74 ans
Y_GE75,75 ans ou plus
Y_GE16,16 ans ou plus
Y25T34,De 25 à 34 ans 
Y35T44,De 35 à 44 ans 
Y45T54,De 45 à 54 ans 
Y55T64,De 55 à 64 ans
Y65T75,De 65 à 75 ans
Y_GE15,15 ans ou plus
Y_LT26,Moins de 26 ans
Y_LT18,Moins de 18 ans
Y18T29,De 18 à 29 ans 
Y30T39,De 30 à 39 ans
Y15T24,De 15 à 24 ans 
Y25T49,De 25 à 49 ans
Y_GE50,50 ans ou plus 
Y50T64,De 50 à 64 ans 
Y40T49,De 40 à 49 ans
Y15T29,De 15 à 29 ans
Y30T44,De 30 à 44 ans
Y45T59,De 45 à 59 ans 
Y60T74,De 60 à 74 ans
Y15T64,De 15 à 64 ans
Y_GE65,65 ans ou plus
Y25T54,De 25 à 54 ans
Y65T69,De 65 à 69 ans
Y_LT16,Moins de 16 ans
Y16T24,De 16 à 24 ans
Y35T49,De 35 à 49 ans 
_T,Total
